Number of threads;Ticks;Result
1;3.744.000;60.549,58
2;12.324.000;60.549,58
3;5.928.000;60.549,58
4;12.480.000;60.549,58
5;6.864.000;60.549,58
6;7.176.000;60.549,58
7;4.836.000;60.549,58
8;5.460.000;60.549,58
9;4.836.000;60.549,58
10;3.744.000;60.549,58
11;5.772.000;60.549,58
12;5.148.000;60.549,58
13;6.864.000;60.549,58
14;5.460.000;60.549,58
15;6.240.000;60.549,58
16;5.772.000;60.549,58
17;6.396.000;60.549,58
18;5.148.000;60.549,58
19;6.396.000;60.549,58
20;6.084.000;60.549,58
21;5.772.000;60.549,58
22;5.772.000;60.549,58
23;6.552.000;60.549,58
24;5.616.000;60.549,58
25;6.240.000;60.549,58
26;7.176.000;60.549,58
27;6.084.000;60.549,58
28;6.396.000;60.549,58
29;7.332.000;60.549,58
30;5.304.000;60.549,58
31;6.552.000;60.549,58
32;6.084.000;60.549,58
33;6.396.000;60.549,58
34;6.396.000;60.549,58
35;6.084.000;60.549,58
36;6.240.000;60.549,58
37;7.020.000;60.549,58
38;6.748.000;60.549,58
39;6.084.000;60.549,58
40;6.240.000;60.549,58
41;6.084.000;60.549,58
42;6.864.000;60.549,58
43;6.708.000;60.549,58
44;6.084.000;60.549,58
45;5.928.000;60.549,58
46;6.240.000;60.549,58
47;6.552.000;60.549,58
48;5.928.000;60.549,58
49;7.332.000;60.549,58
50;6.240.000;60.549,58
51;6.240.000;60.549,58
52;6.708.000;60.549,58
53;7.020.000;60.549,58
54;6.396.000;60.549,58
55;6.552.000;60.549,58
56;6.240.000;60.549,58
57;6.396.000;60.549,58
58;6.708.000;60.549,58
59;6.708.000;60.549,58
60;7.020.000;60.549,58
61;6.708.000;60.549,58
62;6.864.000;60.549,58
63;6.396.000;60.549,58
64;6.396.000;60.549,58
65;6.240.000;60.549,58
66;6.240.000;60.549,58
67;6.864.000;60.549,58
68;6.240.000;60.549,58
69;5.928.000;60.549,58
70;6.240.000;60.549,58
71;7.020.000;60.549,58
72;6.396.000;60.549,58
73;6.396.000;60.549,58
74;6.552.000;60.549,58
75;7.332.000;60.549,58
76;6.396.000;60.549,58
77;6.396.000;60.549,58
78;6.240.000;60.549,58
79;6.708.000;60.549,58
80;6.708.000;60.549,58
81;6.708.000;60.549,58
82;6.708.000;60.549,58
83;6.552.000;60.549,58
84;6.396.000;60.549,58
85;7.020.000;60.549,58
86;6.708.000;60.549,58
87;6.396.000;60.549,58
88;7.176.000;60.549,58
89;6.240.000;60.549,58
90;7.020.000;60.549,58
91;6.240.000;60.549,58
92;6.864.000;60.549,58
93;6.864.000;60.549,58
94;6.552.000;60.549,58
95;6.396.000;60.549,58
96;6.864.000;60.549,58
97;6.240.000;60.549,58
98;6.396.000;60.549,58
99;7.020.000;60.549,58
100;7.332.000;60.549,58
101;7.020.000;60.549,58
102;6.552.000;60.549,58
103;7.020.000;60.549,58
104;6.864.000;60.549,58
105;6.552.000;60.549,58
106;6.864.000;60.549,58
107;7.332.000;60.549,58
108;6.396.000;60.549,58
109;7.176.000;60.549,58
110;6.864.000;60.549,58
111;6.552.000;60.549,58
112;7.332.000;60.549,58
113;6.708.000;60.549,58
114;6.552.000;60.549,58
115;6.084.000;60.549,58
116;6.708.000;60.549,58
117;6.864.000;60.549,58
118;6.864.000;60.549,58
119;6.708.000;60.549,58
120;6.864.000;60.549,58
121;6.552.000;60.549,58
122;6.552.000;60.549,58
123;6.864.000;60.549,58
124;7.020.000;60.549,58
125;6.396.000;60.549,58
126;6.396.000;60.549,58
127;6.084.000;60.549,58
128;7.020.000;60.549,58
129;6.762.000;60.549,58
130;7.332.000;60.549,58
131;7.176.000;60.549,58
132;7.332.000;60.549,58
133;6.708.000;60.549,58
134;7.488.000;60.549,58
135;7.332.000;60.549,58
136;6.708.000;60.549,58
137;6.552.000;60.549,58
138;6.240.000;60.549,58
139;6.708.000;60.549,58
140;7.176.000;60.549,58
141;6.552.000;60.549,58
142;7.020.000;60.549,58
143;7.332.000;60.549,58
144;6.864.000;60.549,58
145;6.864.000;60.549,58
146;6.864.000;60.549,58
147;7.020.000;60.549,58
148;7.332.000;60.549,58
149;7.488.000;60.549,58
150;7.644.000;60.549,58
