Numero de Hilos;Ticks;Resultado;
1;50.002;1.915,40;
2;20.002;1.915,40;
3;30.001;1.915,40;
4;20.001;1.915,40;
5;30.002;1.915,40;
6;10.001;1.915,40;
7;20.001;1.915,40;
8;10.000;1.915,40;
9;20.002;1.915,40;
10;20.001;1.915,40;
11;20.001;1.915,40;
12;20.001;1.915,40;
13;20.001;1.915,40;
14;20.001;1.915,40;
15;20.001;1.915,40;
16;20.002;1.915,40;
17;20.001;1.915,40;
18;30.001;1.915,40;
19;20.002;1.915,40;
20;30.001;1.915,40;
21;40.003;1.915,40;
22;40.002;1.915,40;
23;40.002;1.915,40;
24;40.002;1.915,40;
25;30.002;1.915,40;
26;40.002;1.915,40;
27;50.003;1.915,40;
28;40.002;1.915,40;
29;40.002;1.915,40;
30;50.003;1.915,40;
31;50.003;1.915,40;
32;40.002;1.915,40;
33;50.003;1.915,40;
34;50.003;1.915,40;
35;50.003;1.915,40;
36;50.003;1.915,40;
37;50.003;1.915,40;
38;40.003;1.915,40;
39;50.002;1.915,40;
40;50.003;1.915,40;
41;50.003;1.915,40;
42;60.004;1.915,40;
43;60.003;1.915,40;
44;50.003;1.915,40;
45;50.003;1.915,40;
46;60.003;1.915,40;
47;60.004;1.915,40;
48;60.003;1.915,40;
49;60.003;1.915,40;
50;70.004;1.915,40;
